,voice_ad,side,ad_id,page_id,query,page_name,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,ad_snapshot_url,cleaned_ad
1777,1.0,yes,639357000000000.0,102330000000000.0,the voice,Yes23,"Great to see politicians from all sides coming together to support a resounding Yes vote! 

Voting to give Indigenous Australians a say over issues that affect them is something that should transcend party politics.",,,,https://www.facebook.com/ads/library/?id=639357034958709,GreattoseepoliticiansfromallsidescomingtogethertosupportaresoundingYesvoteVotingtogiveIndigenousAustraliansasayoverissuesthataffectthemissomethingthatshouldtranscendpartypolitics
1778,1.0,yes,1349220000000000.0,102330000000000.0,the voice,Yes23,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition.",,,,https://www.facebook.com/ads/library/?id=1349222325683428,ListeningtopeopleleadstobetteroutcomesonthethingsthataffecttheirlivesIndigenousAustraliansareaskingustolistennowtotheircallforconstitutionalrecognitionandanadvisoryvoiceforIndigenousAustraliansonissuesaffectingthemThiswillcreatebetteroutcomesforIndigenoushealtheducationandqualityoflifeVoteYESinthenationalreferendumforIndigenousconstitutionalrecognition
1779,1.0,yes,1012950000000000.0,102330000000000.0,the voice,Yes23,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition.",,,,https://www.facebook.com/ads/library/?id=1012946076726810,IndigenouscommunitiesarecallingforconstitutionalrecognitionthroughanadvisoryvoicetoParliamentItwouldgiveIndigenousAustraliansasayonissuesaffectingthemleadingtobetteroutcomesforIndigenoushealtheducationandqualityoflife86ofIndigenousAustralianssupportitSoshouldweVoteYESinthenationalreferendumforIndigenousconstitutionalrecognition
1780,1.0,yes,672776000000000.0,102330000000000.0,the voice,Yes23,"Tens of thousands of people across the country just came together to support the Yes campaign in one day.

Let’s build on the momentum!

Indigenous Australians have called for constitutional recognition through a voice to Parliament. 

Join the growing public support by donating to support the YES campaign.",['Donate Now!'],['yes23.com.au'],"['We are an independent, people-driven campaign, so we need the support of thousands of everyday supporters like you.']",https://www.facebook.com/ads/library/?id=672775857655278,TensofthousandsofpeopleacrossthecountryjustcametogethertosupporttheYescampaigninonedayLetsbuildonthemomentumIndigenousAustralianshavecalledforconstitutionalrecognitionthroughavoicetoParliamentJointhegrowingpublicsupportbydonatingtosupporttheYEScampaign
1781,1.0,yes,191263000000000.0,102330000000000.0,the voice,Yes23,"A Yes vote for Indigenous constitutional recognition will help bring the country together.

Pledge to Vote Yes in this referendum to show your support.",['I’m voting Yes!'],['action.yes23.com.au'],['Let’s bring the country together. Pledge to vote Yes in the national referendum for Indigenous constitutional recognition through a voice to Parliament: https://action.yes23.com.au/pledge'],https://www.facebook.com/ads/library/?id=191263277268826,AYesvoteforIndigenousconstitutionalrecognitionwillhelpbringthecountrytogetherPledgetoVoteYesinthisreferendumtoshowyoursupport
1782,1.0,yes,221920000000000.0,102330000000000.0,the voice,Yes23,"Are you voting Yes at the referendum? 

Aboriginal and Torres Strait Islander communities have called for constitutional recognition through a voice to Parliament. Later this year we all have the opportunity to bring our country together with a resounding Yes vote. 

Will you pledge to vote Yes?",['I’m voting Yes!'],['action.yes23.com.au'],['Let’s bring the country together. Pledge to vote Yes in the national referendum for Indigenous constitutional recognition through a voice to Parliament: https://action.yes23.com.au/pledge'],https://www.facebook.com/ads/library/?id=221919850354300,AreyouvotingYesatthereferendumAboriginalandTorresStraitIslandercommunitieshavecalledforconstitutionalrecognitionthroughavoicetoParliamentLaterthisyearweallhavetheopportunitytobringourcountrytogetherwitharesoundingYesvoteWillyoupledgetovoteYes
1783,1.0,yes,125238000000000.0,102330000000000.0,the voice,Yes23,"Listening to people leads to better outcomes on the things that affect their lives.

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice on issues affecting them.

Pledge to Vote Yes in this referendum to show your support.",['I’m voting Yes!'],['action.yes23.com.au'],['Let’s bring the country together. Pledge to vote Yes in the national referendum for Indigenous constitutional recognition through a voice to Parliament: https://action.yes23.com.au/pledge'],https://www.facebook.com/ads/library/?id=125238457302509,ListeningtopeopleleadstobetteroutcomesonthethingsthataffecttheirlivesIndigenousAustraliansareaskingustolistennowtotheircallforconstitutionalrecognitionandanadvisoryvoiceonissuesaffectingthemPledgetoVoteYesinthisreferendumtoshowyoursupport
1784,1.0,yes,800387000000000.0,102330000000000.0,the voice,Yes23,"Tens of thousands of people across the country just came together to support the Yes campaign in one day.

Let’s build on the momentum!

Indigenous Australians have called for constitutional recognition through a voice to Parliament. 

Pledge to vote Yes now!",['I’m voting Yes!'],['action.yes23.com.au'],['Let’s bring the country together. Pledge to vote Yes in the national referendum for Indigenous constitutional recognition through a voice to Parliament: https://action.yes23.com.au/pledge'],https://www.facebook.com/ads/library/?id=800386631793710,TensofthousandsofpeopleacrossthecountryjustcametogethertosupporttheYescampaigninonedayLetsbuildonthemomentumIndigenousAustralianshavecalledforconstitutionalrecognitionthroughavoicetoParliamentPledgetovoteYesnow
1785,1.0,yes,675182000000000.0,102330000000000.0,the voice,Yes23,"Listening to people leads to better outcomes on the things that affect their lives.

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice on issues affecting them.

Show your solidarity here and now by donating to support the YES campaign.",['Donate Now!'],['yes23.com.au'],"['We are an independent, people-driven campaign, so we need the support of thousands of everyday supporters like you.']",https://www.facebook.com/ads/library/?id=675182417276319,ListeningtopeopleleadstobetteroutcomesonthethingsthataffecttheirlivesIndigenousAustraliansareaskingustolistennowtotheircallforconstitutionalrecognitionandanadvisoryvoiceonissuesaffectingthemShowyoursolidarityhereandnowbydonatingtosupporttheYEScampaign
1786,1.0,yes,298022000000000.0,102330000000000.0,the voice,Yes23,"Will you put your money where your heart is? ♥️💛🖤

Listening to people leads to better outcomes on the things that affect their lives.

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice on issues affecting them.

Show your solidarity here and now by donating to support the YES campaign.",['Donate Now!'],['yes23.com.au'],"['We are an independent, people-driven campaign, so we need the support of thousands of everyday supporters like you.']",https://www.facebook.com/ads/library/?id=298021916095895,WillyouputyourmoneywhereyourheartisListeningtopeopleleadstobetteroutcomesonthethingsthataffecttheirlivesIndigenousAustraliansareaskingustolistennowtotheircallforconstitutionalrecognitionandanadvisoryvoiceonissuesaffectingthemShowyoursolidarityhereandnowbydonatingtosupporttheYEScampaign
