,ad_id,page_id,page_name,ad_creative_bodies,ad_delivery_start_time,bylines,ad_snapshot_url,estimated_audience_size_lower,male,female,young,middle,old,delivery_by_region,estimated_audience_size_upper,ad_delivery_stop_time,currency,spend_lower,spend_upper,impressions_lower,impressions_upper,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,count,side
1997,233637282858355,1622506634677043,Senator Jacinta Nampijinpa Price,"I never thought this would happen in Australia.

In the country that proudly sings “We are one and free”.

The country that taught me that we are united no matter where we come from.

We are being asked to vote on a major change to our Constitution to establish a ‘Voice to Parliament’.

This is a really big deal.

It will mean that our national rulebook would treat some Australians differently based on the colour of their skin.

And it would permanently give one small group of Australians an extra say over Parliament and the Government.

This will not unite us.

It will only divide us.

And I don’t want to see my family – and my country – divided along the lines of race.

We are ONE together, not two divided.",2023-06-26,Jacinta Nampijinpa Price,https://www.facebook.com/ads/library/?id=233637282858355,,0.469026,0.522124,0.083438,0.528444,0.388117,"[{'percentage': '1', 'region': 'Tasmania'}]",,2023-06-30,AUD,0,99,2000,2999.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Click here to learn more'],['fairaustralia.com.au'],"['One together, not two divided.']",1,No
1998,248732084525464,1622506634677043,Senator Jacinta Nampijinpa Price,"I never thought this would happen in Australia.

In the country that proudly sings “We are one and free”.

The country that taught me that we are united no matter where we come from.

We are being asked to vote on a major change to our Constitution to establish a ‘Voice to Parliament’.

This is a really big deal.

It will mean that our national rulebook would treat some Australians differently based on the colour of their skin.

And it would permanently give one small group of Australians an extra say over Parliament and the Government.

This will not unite us.

It will only divide us.

And I don’t want to see my family – and my country – divided along the lines of race.

We are ONE together, not two divided. I never thought this would happen in Australia.

In the country that proudly sings “We are one and free”.

The country that taught me that we are united no matter where we come from.

We are being asked to vote on a major change to our Constitution to establish a ‘Voice to Parliament’.

This is a really big deal.

It will mean that our national rulebook would treat some Australians differently based on the colour of their skin.

And it would permanently give one small group of Australians an extra say over Parliament and the Government.

This will not unite us.

It will only divide us.

And I don’t want to see my family – and my country – divided along the lines of race.

We are ONE together, not two divided.",2023-06-25,Jacinta Nampijinpa Price,https://www.facebook.com/ads/library/?id=248732084525464,,0.491025,0.498205,0.083273,0.588657,0.328068,"[{'percentage': '1', 'region': 'Tasmania'}]",,2023-06-29,AUD,0,99,3000,3999.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['Click here to learn more', 'Click here to learn more']",['fairaustralia.com.au'],"['One together, not two divided.', 'One together, not two divided.']",1,No
1999,658228109499647,1622506634677043,Senator Jacinta Nampijinpa Price,"I never thought this would happen in Australia.

In the country that proudly sings “We are one and free”.

The country that taught me that we are united no matter where we come from.

We are being asked to vote on a major change to our Constitution to establish a ‘Voice to Parliament’.

This is a really big deal.

It will mean that our national rulebook would treat some Australians differently based on the colour of their skin.

And it would permanently give one small group of Australians an extra say over Parliament and the Government.

This will not unite us.

It will only divide us.

And I don’t want to see my family – and my country – divided along the lines of race.

We are ONE together, not two divided.",2023-06-25,Jacinta Nampijinpa Price,https://www.facebook.com/ads/library/?id=658228109499647,,0.461385,0.528628,0.055926,0.541944,0.40213,"[{'percentage': '1', 'region': 'Tasmania'}]",,2023-06-29,AUD,100,199,5000,5999.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Click here to learn more'],['fairaustralia.com.au'],"['One together, not two divided.']",1,No
2000,681057543858643,1622506634677043,Senator Jacinta Nampijinpa Price,"I never thought this would happen in Australia.

In the country that proudly sings “We are one and free”.

The country that taught me that we are united no matter where we come from.

We are being asked to vote on a major change to our Constitution to establish a ‘Voice to Parliament’.

This is a really big deal.

It will mean that our national rulebook would treat some Australians differently based on the colour of their skin.

And it would permanently give one small group of Australians an extra say over Parliament and the Government.

This will not unite us.

It will only divide us.

And I don’t want to see my family – and my country – divided along the lines of race.

We are ONE together, not two divided.",2023-06-26,Jacinta Nampijinpa Price,https://www.facebook.com/ads/library/?id=681057543858643,,0.516761,0.471136,0.104284,0.608937,0.286779,"[{'percentage': '1', 'region': 'Tasmania'}]",,2023-06-29,AUD,0,99,2000,2999.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Click here to learn more'],['fairaustralia.com.au'],"['One together, not two divided.']",1,No
2001,970869350831886,1622506634677043,Senator Jacinta Nampijinpa Price,"I never thought this would happen in Australia.

In the country that proudly sings “We are one and free”.

The country that taught me that we are united no matter where we come from.

We are being asked to vote on a major change to our Constitution to establish a ‘Voice to Parliament’.

This is a really big deal.

It will mean that our national rulebook would treat some Australians differently based on the colour of their skin.

And it would permanently give one small group of Australians an extra say over Parliament and the Government.

This will not unite us.

It will only divide us.

And I don’t want to see my family – and my country – divided along the lines of race.

We are ONE together, not two divided.",2023-06-25,Jacinta Nampijinpa Price,https://www.facebook.com/ads/library/?id=970869350831886,,0.529817,0.458715,0.091743,0.490826,0.417431,"[{'percentage': '1', 'region': 'Tasmania'}]",,2023-06-29,AUD,0,99,0,999.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Click here to learn more'],['fairaustralia.com.au'],"['One together, not two divided.']",1,No
2002,1364613821104880,1622506634677043,Senator Jacinta Nampijinpa Price,"I never thought this would happen in Australia.

In the country that proudly sings “We are one and free”.

The country that taught me that we are united no matter where we come from.

We are being asked to vote on a major change to our Constitution to establish a ‘Voice to Parliament’.

This is a really big deal.

It will mean that our national rulebook would treat some Australians differently based on the colour of their skin.

And it would permanently give one small group of Australians an extra say over Parliament and the Government.

This will not unite us.

It will only divide us.

And I don’t want to see my family – and my country – divided along the lines of race.

We are ONE together, not two divided.",2023-06-25,Jacinta Nampijinpa Price,https://www.facebook.com/ads/library/?id=1364613821104880,,0.497467,0.494088,0.063345,0.533784,0.402872,"[{'percentage': '1', 'region': 'Tasmania'}]",,2023-06-29,AUD,0,99,3000,3999.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Click here to learn more'],['fairaustralia.com.au'],"['One together, not two divided.']",1,No
2003,284576384060288,1622506634677043,Senator Jacinta Nampijinpa Price,"I never thought this would happen in Australia.

In the country that proudly sings “We are one and free”.

The country that taught me that we are united no matter where we come from.

We are being asked to vote on a major change to our Constitution to establish a ‘Voice to Parliament’.

This is a really big deal.

It will mean that our national rulebook would treat some Australians differently based on the colour of their skin.

And it would permanently give one small group of Australians an extra say over Parliament and the Government.

This will not unite us.

It will only divide us.

And I don’t want to see my family – and my country – divided along the lines of race.

We are ONE together, not two divided.",2023-06-25,Jacinta Nampijinpa Price,https://www.facebook.com/ads/library/?id=284576384060288,,0.434929,0.552077,0.072429,0.5207,0.40687,"[{'percentage': '1', 'region': 'Queensland'}]",,2023-06-29,AUD,600,699,30000,34999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,['Click here to learn more'],['fairaustralia.com.au'],"['One together, not two divided.']",1,No
2004,289345873546517,1622506634677043,Senator Jacinta Nampijinpa Price,"I never thought this would happen in Australia.

In the country that proudly sings “We are one and free”.

The country that taught me that we are united no matter where we come from.

We are being asked to vote on a major change to our Constitution to establish a ‘Voice to Parliament’.

This is a really big deal.

It will mean that our national rulebook would treat some Australians differently based on the colour of their skin.

And it would permanently give one small group of Australians an extra say over Parliament and the Government.

This will not unite us.

It will only divide us.

And I don’t want to see my family – and my country – divided along the lines of race.

We are ONE together, not two divided. I never thought this would happen in Australia.

In the country that proudly sings “We are one and free”.

The country that taught me that we are united no matter where we come from.

We are being asked to vote on a major change to our Constitution to establish a ‘Voice to Parliament’.

This is a really big deal.

It will mean that our national rulebook would treat some Australians differently based on the colour of their skin.

And it would permanently give one small group of Australians an extra say over Parliament and the Government.

This will not unite us.

It will only divide us.

And I don’t want to see my family – and my country – divided along the lines of race.

We are ONE together, not two divided.",2023-06-25,Jacinta Nampijinpa Price,https://www.facebook.com/ads/library/?id=289345873546517,,0.453445,0.534362,0.069821,0.590851,0.339327,"[{'percentage': '1', 'region': 'Queensland'}]",,2023-06-30,AUD,1000,1499,60000,69999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"['Click here to learn more', 'Click here to learn more']",['fairaustralia.com.au'],"['One together, not two divided.', 'One together, not two divided.']",1,No
2005,603186258299036,1622506634677043,Senator Jacinta Nampijinpa Price,"I never thought this would happen in Australia.

In the country that proudly sings “We are one and free”.

The country that taught me that we are united no matter where we come from.

We are being asked to vote on a major change to our Constitution to establish a ‘Voice to Parliament’.

This is a really big deal.

It will mean that our national rulebook would treat some Australians differently based on the colour of their skin.

And it would permanently give one small group of Australians an extra say over Parliament and the Government.

This will not unite us.

It will only divide us.

And I don’t want to see my family – and my country – divided along the lines of race.

We are ONE together, not two divided.",2023-06-25,Jacinta Nampijinpa Price,https://www.facebook.com/ads/library/?id=603186258299036,,0.431533,0.557181,0.074974,0.524473,0.400553,"[{'percentage': '1', 'region': 'Queensland'}]",,2023-06-29,AUD,300,399,15000,19999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,['Click here to learn more'],['fairaustralia.com.au'],"['One together, not two divided.']",1,No
2006,934491747661705,1622506634677043,Senator Jacinta Nampijinpa Price,"I never thought this would happen in Australia.

In the country that proudly sings “We are one and free”.

The country that taught me that we are united no matter where we come from.

We are being asked to vote on a major change to our Constitution to establish a ‘Voice to Parliament’.

This is a really big deal.

It will mean that our national rulebook would treat some Australians differently based on the colour of their skin.

And it would permanently give one small group of Australians an extra say over Parliament and the Government.

This will not unite us.

It will only divide us.

And I don’t want to see my family – and my country – divided along the lines of race.

We are ONE together, not two divided.",2023-06-25,Jacinta Nampijinpa Price,https://www.facebook.com/ads/library/?id=934491747661705,,0.434786,0.552773,0.046815,0.546836,0.40635,"[{'percentage': '1', 'region': 'Queensland'}]",,2023-06-30,AUD,2500,2999,100000,124999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,['Click here to learn more'],['fairaustralia.com.au'],"['One together, not two divided.']",1,No
