,ad_id,page_id,query,page_name,ad_creative_bodies,ad_delivery_start_time,bylines,currency,spend_lower,spend_upper,impressions_lower,impressions_upper,ad_snapshot_url,male,female,young,middle,old,delivery_by_region,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,ad_delivery_stop_time,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,concat_text,cleaned_ad,voice_ad,side,known_advertisers,voice_ad_classified,voice_keywords,other_keywords,score,algo,count
183,250152901102402,119458418669089,the voice,"AEMEE - Aboriginal Enterprises in Mining, Energy and Exploration Ltd","Djarindjin Airport Pty Ltd has committed to supporting AEMEE by becoming the first ever Gold Indigenous Business Sponsor as well as the first Aboriginal Business Dinner Sponsor for the 2023 Conference. 
 
The Djarindjin Aboriginal Corporation presented at AEMEE in 2018  and were rated as one the best presentations in AEMEE’s 16 year history when they showcased their Airport story which was and still is the first Aboriginal owned and run Airport.
 
Djarindjin have been making significant strides in championing the economic development and well-being of the Djarindjin community. Their dedication to building meaningful partnerships, advocating for Indigenous rights, and driving positive change reflects in their unwavering commitment to empowering their community and creating a sustainable future for generations to come.
 
We are humbled and privileged to collaborate with Djarindjin Airport Pty Ltd, as this sponsorship represents a significant step towards rewriting the narrative of Aboriginal Business success in the sector.
 
We extend our sincerest thanks to Djarindjin Aboriginal Corporation Board for their visionary leadership and commitment to empowering Aboriginal business and in-turn communities. 
 
Join us in celebrating this remarkable sponsorship as together we continue to champion Indigenous business empowerment, foster respectful relationships, and create our voice to the sector for a sustainable economic future for all.

Stay tuned for more exciting AEMEE updates coming soon!

16th Annual AEMEE Conference ticket booking link 👉 https://lnkd.in/gf4JYKat

#AEMEE2023 #AEMEE #ConnectingCultures #IndigenousSponsorship #ResourceSector #CommunityImpact #Sustainability #Empowerment #TogetherWeThrive #AboriginalBusiness #DjarindjinAboriginalCorporation #DjarindjinAirportPtyLtd Djarindjin Aboriginal Corporation #DjarindjinAirportPtyLtd",2023-07-14,,AUD,0,99,0,999.0,https://www.facebook.com/ads/library/?id=250152901102402,,,,,,,,,,,,,,,2023-07-14,"['AEMEE - Aboriginal Enterprises in Mining, Energy and Exploration Ltd']",,"['Aboriginal Enterprises in Mining, Exploration and Energy Ltd (AEMEE) is an incorporated not-for-profit company set up to grow Indigenous businesses.']","Djarindjin Airport Pty Ltd has committed to supporting AEMEE by becoming the first ever Gold Indigenous Business Sponsor as well as the first Aboriginal Business Dinner Sponsor for the 2023 Conference. 
 
The Djarindjin Aboriginal Corporation presented at AEMEE in 2018  and were rated as one the best presentations in AEMEE’s 16 year history when they showcased their Airport story which was and still is the first Aboriginal owned and run Airport.
 
Djarindjin have been making significant strides in championing the economic development and well-being of the Djarindjin community. Their dedication to building meaningful partnerships, advocating for Indigenous rights, and driving positive change reflects in their unwavering commitment to empowering their community and creating a sustainable future for generations to come.
 
We are humbled and privileged to collaborate with Djarindjin Airport Pty Ltd, as this sponsorship represents a significant step towards rewriting the narrative of Aboriginal Business success in the sector.
 
We extend our sincerest thanks to Djarindjin Aboriginal Corporation Board for their visionary leadership and commitment to empowering Aboriginal business and in-turn communities. 
 
Join us in celebrating this remarkable sponsorship as together we continue to champion Indigenous business empowerment, foster respectful relationships, and create our voice to the sector for a sustainable economic future for all.

Stay tuned for more exciting AEMEE updates coming soon!

16th Annual AEMEE Conference ticket booking link 👉 https://lnkd.in/gf4JYKat

#AEMEE2023 #AEMEE #ConnectingCultures #IndigenousSponsorship #ResourceSector #CommunityImpact #Sustainability #Empowerment #TogetherWeThrive #AboriginalBusiness #DjarindjinAboriginalCorporation #DjarindjinAirportPtyLtd Djarindjin Aboriginal Corporation #DjarindjinAirportPtyLtd AEMEE - Aboriginal Enterprises in Mining, Energy and Exploration Ltd Aboriginal Enterprises in Mining, Exploration and Energy Ltd (AEMEE) is an incorporated not-for-profit company set up to grow Indigenous businesses.",djarindjinairportptyltdhascommittedtosupportingaemeebybecomingthefirstevergoldindigenousbusinesssponsoraswellasthefirstaboriginalbusinessdinnersponsorforthe2023conferencethedjarindjinaboriginalcorporationpresentedataemeein2018andwereratedasonethebestpresentationsinaemees16yearhistorywhentheyshowcasedtheirairportstorywhichwasandstillisthefirstaboriginalownedandrunairportdjarindjinhavebeenmakingsignificantstridesinchampioningtheeconomicdevelopmentandwellbeingofthedjarindjincommunitytheirdedicationtobuildingmeaningfulpartnershipsadvocatingforindigenousrightsanddrivingpositivechangereflectsintheirunwaveringcommitmenttoempoweringtheircommunityandcreatingasustainablefutureforgenerationstocomewearehumbledandprivilegedtocollaboratewithdjarindjinairportptyltdasthissponsorshiprepresentsasignificantsteptowardsrewritingthenarrativeofaboriginalbusinesssuccessinthesectorweextendoursincerestthankstodjarindjinaboriginalcorporationboardfortheirvisionaryleadershipandcommitmenttoempoweringaboriginalbusinessandinturncommunitiesjoinusincelebratingthisremarkablesponsorshipastogetherwecontinuetochampionindigenousbusinessempowermentfosterrespectfulrelationshipsandcreateourvoicetothesectorforasustainableeconomicfutureforallstaytunedformoreexcitingaemeeupdatescomingsoon16thannualaemeeconferenceticketbookinglinkhttpslnkdingf4jykataemee2023aemeeconnectingculturesindigenoussponsorshipresourcesectorcommunityimpactsustainabilityempowermenttogetherwethriveaboriginalbusinessdjarindjinaboriginalcorporationdjarindjinairportptyltddjarindjinaboriginalcorporationdjarindjinairportptyltd,0.0,,,Is a Voice ad,,['indigenous'],60,True,1
203,1358975498031334,352953834815624,the voice,Jason Wood MP,"LABOR DELIVERING BILL SHOCK: Victorian households suffering financial hardship and struggling to pay their energy bills have average utility debts of almost $2500, a new report has found.

PM Albanese promised energy bills would go down $275. This was a disgusting lie. 

Australians need relief from Labor’s cost of living crisis.

And they need a plan for the future. That’s why the Liberals are calling on Labor to discuss a clean energy nuclear future. 

Unfortunately, Albanese and Labor are too focused on the Canberra Voice and getting Taylor Swift tickets than addressing any cost-of-living issue let alone planning for the future.",2023-07-12,Jason Wood MP,AUD,100,199,10000,14999.0,https://www.facebook.com/ads/library/?id=1358975498031334,0.5502,0.440261,0.104585,0.519912,0.375501,"[{'percentage': '1', 'region': 'Victoria'}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2023-07-17,,,,"LABOR DELIVERING BILL SHOCK: Victorian households suffering financial hardship and struggling to pay their energy bills have average utility debts of almost $2500, a new report has found.

PM Albanese promised energy bills would go down $275. This was a disgusting lie. 

Australians need relief from Labor’s cost of living crisis.

And they need a plan for the future. That’s why the Liberals are calling on Labor to discuss a clean energy nuclear future. 

Unfortunately, Albanese and Labor are too focused on the Canberra Voice and getting Taylor Swift tickets than addressing any cost-of-living issue let alone planning for the future.",labordeliveringbillshockvictorianhouseholdssufferingfinancialhardshipandstrugglingtopaytheirenergybillshaveaverageutilitydebtsofalmost2500anewreporthasfoundpmalbanesepromisedenergybillswouldgodown275thiswasadisgustinglieaustraliansneedrelieffromlaborscostoflivingcrisisandtheyneedaplanforthefuturethatswhytheliberalsarecallingonlabortodiscussacleanenergynuclearfutureunfortunatelyalbaneseandlaboraretoofocusedonthecanberravoiceandgettingtaylorswiftticketsthanaddressinganycostoflivingissueletaloneplanningforthefuture,0.0,,,Not a Voice Ad,['canberra voice'],,80,True,1
246,652124116517346,1920108454748294,the voice,Senator Perin Davey,"Great to join Credlin on Sky tonight to discuss nuclear energy, the voice and more. The Nationals have long been advocating for nuclear energy and it’s great that the Liberals are now on board with us. We have the worlds largest reserves of Uranium and we ship it overseas so that other countries like France and the US can have cheaper power, but we ban it for ourselves! It’s time for that to change. It’s time for cheaper power prices, to improve productivity and drive down inflation.",2023-07-07,Senator Perin Davey,AUD,100,199,40000,44999.0,https://www.facebook.com/ads/library/?id=652124116517346,0.699756,0.289838,0.021427,0.520204,0.458371,"[{'percentage': '0.006088', 'region': 'Australian Capital Territory'}, {'percentage': '0.245206', 'region': 'New South Wales'}, {'percentage': '0.013132', 'region': 'Northern Territory'}, {'percentage': '0.310127', 'region': 'Queensland'}, {'percentage': '0.077575', 'region': 'South Australia'}, {'percentage': '0.017959', 'region': 'Tasmania'}, {'percentage': '0.21068', 'region': 'Victoria'}, {'percentage': '0.119189', 'region': 'Western Australia'}, {'percentage': '4.3E-5', 'region': 'Jervis Bay Territory'}]",0.006088,0.245206,0.013132,0.310127,0.077575,0.017959,0.21068,0.119189,2023-07-14,,,,"Great to join Credlin on Sky tonight to discuss nuclear energy, the voice and more. The Nationals have long been advocating for nuclear energy and it’s great that the Liberals are now on board with us. We have the worlds largest reserves of Uranium and we ship it overseas so that other countries like France and the US can have cheaper power, but we ban it for ourselves! It’s time for that to change. It’s time for cheaper power prices, to improve productivity and drive down inflation.",greattojoincredlinonskytonighttodiscussnuclearenergythevoiceandmorethenationalshavelongbeenadvocatingfornuclearenergyanditsgreatthattheliberalsarenowonboardwithuswehavetheworldslargestreservesofuraniumandweshipitoverseassothatothercountrieslikefranceandtheuscanhavecheaperpowerbutwebanitforourselvesitstimeforthattochangeitstimeforcheaperpowerpricestoimproveproductivityanddrivedowninflation,0.0,,,Is a Voice ad,,['the voice'],60,True,1
357,836416811435251,478065488978183,the voice,Ian Goodenough MP,"It was exciting to show Peter Dutton the redevelopment plans at the North Shore Community Hub and catch up over coffee with more than 100 local community members.

Peter and I heard from locals about their concerns regarding a range of issues, especially cost of living and upcoming the Voice referendum.

We even had time to pick up the paddle for a game of Pickleball, the world's fastest growing sport!",2023-06-28,Ian Goodenough MP,AUD,200,299,10000,14999.0,https://www.facebook.com/ads/library/?id=836416811435251,0.636032,0.347143,0.286825,0.539841,0.173334,"[{'percentage': '1', 'region': 'Western Australia'}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2023-06-30,,,,"It was exciting to show Peter Dutton the redevelopment plans at the North Shore Community Hub and catch up over coffee with more than 100 local community members.

Peter and I heard from locals about their concerns regarding a range of issues, especially cost of living and upcoming the Voice referendum.

We even had time to pick up the paddle for a game of Pickleball, the world's fastest growing sport!",itwasexcitingtoshowpeterduttontheredevelopmentplansatthenorthshorecommunityhubandcatchupovercoffeewithmorethan100localcommunitymemberspeterandiheardfromlocalsabouttheirconcernsregardingarangeofissuesespeciallycostoflivingandupcomingthevoicereferendumweevenhadtimetopickupthepaddleforagameofpickleballtheworldsfastestgrowingsport,0.0,,,Is a Voice ad,['voice referendum'],"['the voice', 'referendum']",100,True,1
435,285957890546425,985160954863696,the voice,Van Badham,"The latest episode of The Week on Wednesday is HERE: https://apple.co/3qJEEwP

We talk about the RBA! Productivity! Good news about #Yes23 and then Ben brings up housing policy *that the Greens have voted with the Liberals to block* and I become THE YELLING CAT.",2023-06-21,,GBP,0,99,0,999.0,https://www.facebook.com/ads/library/?id=285957890546425,,,,,,,,,,,,,,,2023-06-22,,,,"The latest episode of The Week on Wednesday is HERE: https://apple.co/3qJEEwP

We talk about the RBA! Productivity! Good news about #Yes23 and then Ben brings up housing policy *that the Greens have voted with the Liberals to block* and I become THE YELLING CAT.",thelatestepisodeoftheweekonwednesdayisherehttpsappleco3qjeewpwetalkabouttherbaproductivitygoodnewsaboutyes23andthenbenbringsuphousingpolicythatthegreenshavevotedwiththeliberalstoblockandibecometheyellingcat,0.0,,,Not a Voice Ad,['yes23'],,70,True,1
460,778241053759308,147857038577340,the voice,Australian Education Union Victoria,Secure better pay and conditions,2023-06-20,Australian Education Union Victorian Branch,AUD,0,99,0,999.0,https://www.facebook.com/ads/library/?id=778241053759308,0.303296,0.685714,0.01978,0.802198,0.178022,"[{'percentage': '1', 'region': 'Victoria'}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2023-06-21,['Secure better pay and conditions.'],['Typeform.com/'],['Vote YES here. It only takes 5 minutes.'],Secure better pay and conditions Secure better pay and conditions. Typeform.com/ Vote YES here. It only takes 5 minutes.,securebetterpayandconditions,0.0,,,Is a Voice ad,,"['yes', 'vote']",70,True,1
504,658020052836881,460973797298949,the voice,WAMN News,"EVENING NEWS & WP📡🚨EXCLUSIVE🚨🗳Premier Cook prepares for a “big test” as local Labor members felt “ignored” over pre-selection to replace Mark McGowan.🏛✊🏿The “No” campaign presents its argument against “The Voice To Parliament”.🧑‍🌾Aboriginal Heritage Act reveals triggered panic among farmers and Tradies over new laws,👨‍⚕️Dr Andrew Miller’s comment and more.
.
Subscribe to ""WAMN Xtra News Club"", and support independent local news.
.
DETAILS💻: https://wamnnews.com.au/news/xtra",2023-06-18,WAMN News,AUD,0,99,8000,8999.0,https://www.facebook.com/ads/library/?id=658020052836881,0.675971,0.313628,0.050797,0.612345,0.336859,"[{'percentage': '1', 'region': 'Western Australia'}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2023-06-22,"[""🚨EXCLUSIVE🚨Premier Cook prepares for a “big test” as local Labor members felt “ignored” over pre-selection to Mark McGowan. The “No” campaign presents its argument against “The Voice To Parliament”, Dr Miller's comment and more.""]",['wamnnews.com.au'],,"EVENING NEWS & WP📡🚨EXCLUSIVE🚨🗳Premier Cook prepares for a “big test” as local Labor members felt “ignored” over pre-selection to replace Mark McGowan.🏛✊🏿The “No” campaign presents its argument against “The Voice To Parliament”.🧑‍🌾Aboriginal Heritage Act reveals triggered panic among farmers and Tradies over new laws,👨‍⚕️Dr Andrew Miller’s comment and more.
.
Subscribe to ""WAMN Xtra News Club"", and support independent local news.
.
DETAILS💻: https://wamnnews.com.au/news/xtra 🚨EXCLUSIVE🚨Premier Cook prepares for a “big test” as local Labor members felt “ignored” over pre-selection to Mark McGowan. The “No” campaign presents its argument against “The Voice To Parliament”, Dr Miller's comment and more. wamnnews.com.au",eveningnewswpexclusivepremiercookpreparesforabigtestaslocallabormembersfeltignoredoverpreselectiontoreplacemarkmcgowanthenocampaignpresentsitsargumentagainstthevoicetoparliamentaboriginalheritageactrevealstriggeredpanicamongfarmersandtradiesovernewlawsdrandrewmillerscommentandmoresubscribetowamnxtranewsclubandsupportindependentlocalnewsdetailshttpswamnnewscomaunewsxtra,0.0,,,Is a Voice ad,"['voice to parliament', 'no campaign']","['the voice', 'no']",100,True,1
591,272257405180189,100385049145414,the voice,Allegra Spender,This Thursday night. Come along. Get informed. Bring your friends.,2023-06-06,Allegra Spender MP,AUD,0,99,0,999.0,https://www.facebook.com/ads/library/?id=272257405180189,0.307692,0.655944,0.279721,0.532867,0.187412,"[{'percentage': '1', 'region': 'New South Wales'}]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-06-08,['The Voice information evening'],['www.allegraspender.com.au'],['Paddington RSL at 6pm on 8th June'],This Thursday night. Come along. Get informed. Bring your friends. The Voice information evening www.allegraspender.com.au Paddington RSL at 6pm on 8th June,thisthursdaynightcomealonggetinformedbringyourfriends,0.0,,,Is a Voice ad,,['the voice'],70,True,1
722,291819989886626,665017740294128,the voice,Julian Hill MP,🇦🇺 Yes 🙌. Mythbusters:,2023-05-27,Julian Hill MP,AUD,400,499,40000,44999.0,https://www.facebook.com/ads/library/?id=291819989886626,0.746801,0.241918,0.392418,0.451928,0.155656,"[{'percentage': '0.02526', 'region': 'Australian Capital Territory'}, {'percentage': '0.254306', 'region': 'New South Wales'}, {'percentage': '0.011139', 'region': 'Northern Territory'}, {'percentage': '0.131536', 'region': 'Queensland'}, {'percentage': '0.071824', 'region': 'South Australia'}, {'percentage': '0.022825', 'region': 'Tasmania'}, {'percentage': '0.404589', 'region': 'Victoria'}, {'percentage': '0.07852', 'region': 'Western Australia'}]",0.02526,0.254306,0.011139,0.131536,0.071824,0.022825,0.404589,0.07852,2023-06-10,,,,🇦🇺 Yes 🙌. Mythbusters:,yesmythbusters,0.0,,,Is a Voice ad,,['yes'],60,True,1
844,715158857027379,1609771445950238,the voice,Peter Khalil,"Join us for an evening celebrating our local arts scene with special guest Tony Burke, Minister for the Arts, Employment and Workplace Relations!

Like me, Tony is really passionate about supporting the arts, so we are putting on a live show with local artists to support some of our incredible local community talent.

As part of the Albanese Labor Government's dedication to the arts, we recently announced the Revive initiative - the first new national cultural policy in almost a decade. This $286 million investment over four years will help empower artists and arts organizations to thrive and grow.

So come out and enjoy an evening of live entertainment and great company. Food and drinks will be available at bar prices. We hope to see you there!

Rsvp Here→ https://peterkhalil.com.au/celebrating-our-local-arts/",2023-05-13,Peter Khalil,AUD,0,99,0,999.0,https://www.facebook.com/ads/library/?id=715158857027379,0.496644,0.481544,0.283557,0.447987,0.268456,"[{'percentage': '1', 'region': 'Victoria'}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2023-05-16,['Town Hall on Voice to Parliament'],"['Celebrating our Local Arts with special guest Tony Burke, Minister for the Arts']","['Our community is home to a number of talented local artists who the Albanese Government is committed to supporting. I hope you can join me for an evening celebrating and supporting local arts with Tony Burke, Minister for the Arts, Employment and Workplace Relations. \n\nLike me, Tony is really passionate about supporting the arts, so we are putting on a live show with local artists to support some of our incredible local community talent.\n\nThe Albanese Labor Government recently announced Revive, the first new National cultural policy in close to a decade. With $286 million in dedicated funding over four years, Revive will help empower our artists and arts organisations to thrive and grow.\n\nI hope you can join the Minister and I for a great night celebrating and supporting investment in the Arts. Please RSVP to Peter.Khalil.MP@aph.gov.au \n\nFood and drinks available at bar prices']","Join us for an evening celebrating our local arts scene with special guest Tony Burke, Minister for the Arts, Employment and Workplace Relations!

Like me, Tony is really passionate about supporting the arts, so we are putting on a live show with local artists to support some of our incredible local community talent.

As part of the Albanese Labor Government's dedication to the arts, we recently announced the Revive initiative - the first new national cultural policy in almost a decade. This $286 million investment over four years will help empower artists and arts organizations to thrive and grow.

So come out and enjoy an evening of live entertainment and great company. Food and drinks will be available at bar prices. We hope to see you there!

Rsvp Here→ https://peterkhalil.com.au/celebrating-our-local-arts/ Town Hall on Voice to Parliament Celebrating our Local Arts with special guest Tony Burke, Minister for the Arts Our community is home to a number of talented local artists who the Albanese Government is committed to supporting. I hope you can join me for an evening celebrating and supporting local arts with Tony Burke, Minister for the Arts, Employment and Workplace Relations. 

Like me, Tony is really passionate about supporting the arts, so we are putting on a live show with local artists to support some of our incredible local community talent.

The Albanese Labor Government recently announced Revive, the first new National cultural policy in close to a decade. With $286 million in dedicated funding over four years, Revive will help empower our artists and arts organisations to thrive and grow.

I hope you can join the Minister and I for a great night celebrating and supporting investment in the Arts. Please RSVP to Peter.Khalil.MP@aph.gov.au 

Food and drinks available at bar prices",joinusforaneveningcelebratingourlocalartsscenewithspecialguesttonyburkeministerfortheartsemploymentandworkplacerelationslikemetonyisreallypassionateaboutsupportingtheartssoweareputtingonaliveshowwithlocalartiststosupportsomeofourincrediblelocalcommunitytalentaspartofthealbaneselaborgovernmentsdedicationtotheartswerecentlyannouncedthereviveinitiativethefirstnewnationalculturalpolicyinalmostadecadethis286millioninvestmentoverfouryearswillhelpempowerartistsandartsorganizationstothriveandgrowsocomeoutandenjoyaneveningofliveentertainmentandgreatcompanyfoodanddrinkswillbeavailableatbarpriceswehopetoseeyoutherersvpherehttpspeterkhalilcomaucelebratingourlocalarts,0.0,,,Not a Voice Ad,['voice to parliament'],,80,True,1
