ad_id,page_id,page_name,ad_creative_bodies,ad_delivery_start_time,bylines,ad_snapshot_url,estimated_audience_size_lower,male,female,young,middle,old,delivery_by_region,estimated_audience_size_upper,ad_delivery_stop_time,currency,spend_lower,spend_upper,impressions_lower,impressions_upper,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
992360535298100,102329728050606,Yes23,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",2023-07-24,Yes23,https://www.facebook.com/ads/archive/render_ad/?id=992360535298100&access_token=EAArd4ZCxT9FkBAGwLGa0BGnuLzAQR5hdaWwXqHdlCvh6vP3xPdwSEKJLFwh3ss45YGyWtZApEPeLHKi6teQPqkiNZCdrupSm1kZCeww1ZB3TytZB0ok5GIVdaH9QIGaqY16IWSNscnLLABB2RZBykrk5gG07iFeff6Ci2zo89rQt7YgGiIzAX6xHt5XZAL7i7g6Ot7ZCiy8PckZAeAGLnqyEweZBzJg3ZCCqt2mUrcmKijrkE0lBDIJkKJUmq3o4ZB0ZBLSNgZD,,0.535339,0.454803,0.243108,0.600334,0.156558,"[{'percentage': '1', 'region': 'New South Wales'}]",,,AUD,0,99,6000,6999,0,1,0,0,0,0,0,0
1083098386186304,102329728050606,Yes23,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",2023-07-24,Yes23,https://www.facebook.com/ads/archive/render_ad/?id=1083098386186304&access_token=EAArd4ZCxT9FkBAGwLGa0BGnuLzAQR5hdaWwXqHdlCvh6vP3xPdwSEKJLFwh3ss45YGyWtZApEPeLHKi6teQPqkiNZCdrupSm1kZCeww1ZB3TytZB0ok5GIVdaH9QIGaqY16IWSNscnLLABB2RZBykrk5gG07iFeff6Ci2zo89rQt7YgGiIzAX6xHt5XZAL7i7g6Ot7ZCiy8PckZAeAGLnqyEweZBzJg3ZCCqt2mUrcmKijrkE0lBDIJkKJUmq3o4ZB0ZBLSNgZD,,0.439494,0.55065,0.260149,0.57351,0.166338,"[{'percentage': '1', 'region': 'Western Australia'}]",,,AUD,0,99,2000,2999,0,0,0,0,0,0,0,1
1356150461975366,102329728050606,Yes23,"A ‘Yes’ vote for constitutional recognition for Aboriginal and Torres Strait Islander peoples will help bring the country together.

It’s an invitation for all Australians to be connected to 65,000 years of Indigenous culture through our constitution.

Vote ‘Yes’ for Indigenous constitutional recognition.

Show your support today by pledging to vote Yes: https://action.yes23.com.au/pledge

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",2023-07-24,Yes23,https://www.facebook.com/ads/archive/render_ad/?id=1356150461975366&access_token=EAArd4ZCxT9FkBAGwLGa0BGnuLzAQR5hdaWwXqHdlCvh6vP3xPdwSEKJLFwh3ss45YGyWtZApEPeLHKi6teQPqkiNZCdrupSm1kZCeww1ZB3TytZB0ok5GIVdaH9QIGaqY16IWSNscnLLABB2RZBykrk5gG07iFeff6Ci2zo89rQt7YgGiIzAX6xHt5XZAL7i7g6Ot7ZCiy8PckZAeAGLnqyEweZBzJg3ZCCqt2mUrcmKijrkE0lBDIJkKJUmq3o4ZB0ZBLSNgZD,,,,,,,,,,AUD,0,99,0,999,,,,,,,,
808801313988568,102329728050606,Yes23,"A ‘Yes’ vote for constitutional recognition for Aboriginal and Torres Strait Islander peoples will help bring the country together.

It’s an invitation for all Australians to be connected to 65,000 years of Indigenous culture through our constitution.

Vote ‘Yes’ for Indigenous constitutional recognition.

Show your support today by pledging to vote Yes: https://action.yes23.com.au/pledge

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",2023-07-23,Yes23,https://www.facebook.com/ads/archive/render_ad/?id=808801313988568&access_token=EAArd4ZCxT9FkBAGwLGa0BGnuLzAQR5hdaWwXqHdlCvh6vP3xPdwSEKJLFwh3ss45YGyWtZApEPeLHKi6teQPqkiNZCdrupSm1kZCeww1ZB3TytZB0ok5GIVdaH9QIGaqY16IWSNscnLLABB2RZBykrk5gG07iFeff6Ci2zo89rQt7YgGiIzAX6xHt5XZAL7i7g6Ot7ZCiy8PckZAeAGLnqyEweZBzJg3ZCCqt2mUrcmKijrkE0lBDIJkKJUmq3o4ZB0ZBLSNgZD,,0.547561,0.441142,0.255648,0.528538,0.215814,"[{'percentage': '1', 'region': 'Queensland'}]",,,AUD,0,99,1000,1999,0,0,0,1,0,0,0,0
839262740550948,102329728050606,Yes23,"A ‘Yes’ vote for constitutional recognition for Aboriginal and Torres Strait Islander peoples will help bring the country together.

It’s an invitation for all Australians to be connected to 65,000 years of Indigenous culture through our constitution.

Vote ‘Yes’ for Indigenous constitutional recognition.

Show your support today by pledging to vote Yes: https://action.yes23.com.au/pledge

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",2023-07-24,Yes23,https://www.facebook.com/ads/archive/render_ad/?id=839262740550948&access_token=EAArd4ZCxT9FkBAGwLGa0BGnuLzAQR5hdaWwXqHdlCvh6vP3xPdwSEKJLFwh3ss45YGyWtZApEPeLHKi6teQPqkiNZCdrupSm1kZCeww1ZB3TytZB0ok5GIVdaH9QIGaqY16IWSNscnLLABB2RZBykrk5gG07iFeff6Ci2zo89rQt7YgGiIzAX6xHt5XZAL7i7g6Ot7ZCiy8PckZAeAGLnqyEweZBzJg3ZCCqt2mUrcmKijrkE0lBDIJkKJUmq3o4ZB0ZBLSNgZD,,,,,,,,,,AUD,0,99,0,999,,,,,,,,
1024076745433089,102329728050606,Yes23,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",2023-07-24,Yes23,https://www.facebook.com/ads/archive/render_ad/?id=1024076745433089&access_token=EAArd4ZCxT9FkBAGwLGa0BGnuLzAQR5hdaWwXqHdlCvh6vP3xPdwSEKJLFwh3ss45YGyWtZApEPeLHKi6teQPqkiNZCdrupSm1kZCeww1ZB3TytZB0ok5GIVdaH9QIGaqY16IWSNscnLLABB2RZBykrk5gG07iFeff6Ci2zo89rQt7YgGiIzAX6xHt5XZAL7i7g6Ot7ZCiy8PckZAeAGLnqyEweZBzJg3ZCCqt2mUrcmKijrkE0lBDIJkKJUmq3o4ZB0ZBLSNgZD,,0.472728,0.524676,0.30909,0.522079,0.168832,"[{'percentage': '1', 'region': 'South Australia'}]",,,AUD,0,99,0,999,0,0,0,0,1,0,0,0
2518450231664329,102329728050606,Yes23,"Great to see politicians from all sides coming together to support a resounding Yes vote! 

Voting to give Indigenous Australians a say over issues that affect them is something that should transcend party politics.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",2023-07-24,Yes23,https://www.facebook.com/ads/archive/render_ad/?id=2518450231664329&access_token=EAArd4ZCxT9FkBAGwLGa0BGnuLzAQR5hdaWwXqHdlCvh6vP3xPdwSEKJLFwh3ss45YGyWtZApEPeLHKi6teQPqkiNZCdrupSm1kZCeww1ZB3TytZB0ok5GIVdaH9QIGaqY16IWSNscnLLABB2RZBykrk5gG07iFeff6Ci2zo89rQt7YgGiIzAX6xHt5XZAL7i7g6Ot7ZCiy8PckZAeAGLnqyEweZBzJg3ZCCqt2mUrcmKijrkE0lBDIJkKJUmq3o4ZB0ZBLSNgZD,,,,,,,,,,AUD,0,99,0,999,,,,,,,,
3509547099305365,102329728050606,Yes23,"Listening to people leads to better outcomes on the things that affect their lives. 

Indigenous Australians are asking us to listen now to their call for constitutional recognition and an advisory voice for Indigenous Australians on issues affecting them. 

This will create better outcomes for Indigenous health, education and quality of life.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",2023-07-24,Yes23,https://www.facebook.com/ads/archive/render_ad/?id=3509547099305365&access_token=EAArd4ZCxT9FkBAGwLGa0BGnuLzAQR5hdaWwXqHdlCvh6vP3xPdwSEKJLFwh3ss45YGyWtZApEPeLHKi6teQPqkiNZCdrupSm1kZCeww1ZB3TytZB0ok5GIVdaH9QIGaqY16IWSNscnLLABB2RZBykrk5gG07iFeff6Ci2zo89rQt7YgGiIzAX6xHt5XZAL7i7g6Ot7ZCiy8PckZAeAGLnqyEweZBzJg3ZCCqt2mUrcmKijrkE0lBDIJkKJUmq3o4ZB0ZBLSNgZD,,0.363597,0.615486,0.36064,0.440587,0.198774,"[{'percentage': '0.026677', 'region': 'Australian Capital Territory'}, {'percentage': '0.308322', 'region': 'New South Wales'}, {'percentage': '0.011691', 'region': 'Northern Territory'}, {'percentage': '0.185567', 'region': 'Queensland'}, {'percentage': '0.067701', 'region': 'South Australia'}, {'percentage': '0.027208', 'region': 'Tasmania'}, {'percentage': '0.28409', 'region': 'Victoria'}, {'percentage': '0.088745', 'region': 'Western Australia'}]",,,AUD,0,99,9000,9999,0.026677,0.308322,0.011691,0.185567,0.067701,0.027208,0.28409,0.088745
6215297601901116,102329728050606,Yes23,"Indigenous communities are calling for constitutional recognition through an advisory voice to Parliament.

It would give Indigenous Australians a say on issues affecting them, leading to better outcomes for Indigenous health, education and quality of life.

86% of Indigenous Australians support it. So should we.

Vote YES in the national referendum for Indigenous constitutional recognition.

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",2023-07-24,Yes23,https://www.facebook.com/ads/archive/render_ad/?id=6215297601901116&access_token=EAArd4ZCxT9FkBAGwLGa0BGnuLzAQR5hdaWwXqHdlCvh6vP3xPdwSEKJLFwh3ss45YGyWtZApEPeLHKi6teQPqkiNZCdrupSm1kZCeww1ZB3TytZB0ok5GIVdaH9QIGaqY16IWSNscnLLABB2RZBykrk5gG07iFeff6Ci2zo89rQt7YgGiIzAX6xHt5XZAL7i7g6Ot7ZCiy8PckZAeAGLnqyEweZBzJg3ZCCqt2mUrcmKijrkE0lBDIJkKJUmq3o4ZB0ZBLSNgZD,,0.602906,0.382567,0.222761,0.539952,0.237288,"[{'percentage': '1', 'region': 'Victoria'}]",,,AUD,0,99,0,999,0,0,0,0,0,0,1,0
202311029163873,102329728050606,Yes23,"A ‘Yes’ vote for constitutional recognition for Aboriginal and Torres Strait Islander peoples will help bring the country together.

It’s an invitation for all Australians to be connected to 65,000 years of Indigenous culture through our constitution.

Vote ‘Yes’ for Indigenous constitutional recognition.

Show your support today by pledging to vote Yes: https://action.yes23.com.au/pledge

Authorised by Dean Parkin, Australians for Indigenous Constitutional Recognition, North Sydney NSW.",2023-07-24,Yes23,https://www.facebook.com/ads/archive/render_ad/?id=202311029163873&access_token=EAArd4ZCxT9FkBAGwLGa0BGnuLzAQR5hdaWwXqHdlCvh6vP3xPdwSEKJLFwh3ss45YGyWtZApEPeLHKi6teQPqkiNZCdrupSm1kZCeww1ZB3TytZB0ok5GIVdaH9QIGaqY16IWSNscnLLABB2RZBykrk5gG07iFeff6Ci2zo89rQt7YgGiIzAX6xHt5XZAL7i7g6Ot7ZCiy8PckZAeAGLnqyEweZBzJg3ZCCqt2mUrcmKijrkE0lBDIJkKJUmq3o4ZB0ZBLSNgZD,,0.262181,0.728538,0.107889,0.540602,0.351508,"[{'percentage': '1', 'region': 'Victoria'}]",,,AUD,0,99,0,999,0,0,0,0,0,0,1,0
