voice_ad,side,ad_id,page_id,query,page_name,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,ad_snapshot_url
0,,9.75734E+14,1.04894E+14,the voice,The Singing Guitarists,"🎙️ ✨ Introducing The Singing Guitarists! ✨🎸

🌟 I’m here to help women and non-binary folks learn to play and sing the guitar! 🌟

🎵 My mission is to create a supportive and inclusive community where everyone can discover the joy of music. Led by me, @phillipacookman, I’m dedicated to empowering individuals traditionally underrepresented in the guitar-playing world.

🎶 I’m a passionate (and professional) vocalist and guitarist and I want this platform to bridge the gender gap and provide a safe space for all singers and guitarists. Whether you're a beginner or have been making music for years, we've got you covered!

🌈 I offer bespoke coaching programmes that are tailored to your needs and aspirations. From belting out your favourite Celine numbers to advanced strumming patterns and chord progressions, we cover a wide range of musical styles and genres, ensuring a well-rounded learning experience.

🎤 I believe singing and playing the guitar go hand in hand! Develop your vocal abilities alongside your instrumental skills, with guidance on breath control, pitch accuracy, and performance techniques. Let's find your authentic voice as a musician!

💫 But it doesn't stop there! I host group workshops, practice sessions and live lessons to foster a strong sense of community. Connect with like-minded individuals, collaborate, and grow together!

🌟 With The Singing Guitarists, I’m committed to promoting diversity and inclusivity within the music industry. Together, let's challenge stereotypes and break down barriers, empowering women and non-binary individuals to shine in their musical journeys.

🎉 Join us at The Singing Guitarists, and embark on a transformative musical adventure filled with creativity, empowerment, and the pure joy of making music! 🎉

👉 Tag your friends who've been dreaming of playing the guitar and singing in the comments! Let's spread the word and inspire others to embrace their musical talents. 🌟

📸 @katescottpics",,,,https://www.facebook.com/ads/library/?id=975733956964675
0,,2.51377E+14,9480502970,the voice,Greenpeace Australia Pacific,"⚠️URGENT⚠️ negotiations are happening right now for deep sea mining, meaning this industry could start up any day now!

We can't let greedy corporations tear up the ocean floor for profit, threatening fragile ecosystems and the livelihoods of people of who rely on them 🌊 

Use your voice to tell the Australian government to oppose this destructive practice from going ahead in the Pacific Ocean 📣",['Tell the Australian government to oppose deep sea mining'],['fb.me'],['Sign and share!'],https://www.facebook.com/ads/library/?id=251376984370846
0,,6.0271E+14,10113538711,the voice,WWF-Australia,"NT, let's improve our score. Help the NT save our trees. Save Our Trees NOW!","['Save Our Trees NOW!', 'Save Our Trees NOW!', ""NT, let's improve our score.""]","['fb.me', 'fb.me', 'fb.me']","[""NT, let's improve our score."", 'Help the NT save our trees.', 'Save Our Trees NOW!']",https://www.facebook.com/ads/library/?id=602710258420472
0,,6.5901E+14,10113538711,the voice,WWF-Australia,"It's a race to save our trees. Austraila, let's save our trees. It's a race to save our trees.","['Save Our Trees NOW!', 'Save Our Trees NOW!', 'Save Our Trees NOW!']","['fb.me', 'fb.me', 'fb.me']","[""It's a race to save our trees."", ""Austraila, let's save our trees."", ""It's a race to save our trees.""]",https://www.facebook.com/ads/library/?id=659010272523636
0,,9.43951E+14,10113538711,the voice,WWF-Australia,"VIC, let's climb the leaderboard. Help VIC save our trees. VIC, let's climb the leaderboard.","['Save Our Trees NOW!', 'Save Our Trees NOW!', 'Save Our Trees NOW!']","['fb.me', 'fb.me', 'fb.me']","[""VIC, let's climb the leaderboard."", 'Help VIC save our trees.', ""VIC, let's climb the leaderboard.""]",https://www.facebook.com/ads/library/?id=943950553564076
0,,1.2866E+15,10113538711,the voice,WWF-Australia,🏁 THE RACE IS ON! Australia's first Trees Scorecard shows how each state and territory is performing in the race to protect and restore trees. Australia has the highest rate of deforestation in the developed world. Add your voice to help change this. Sign the petition now. 🌳 🏁 THE RACE IS ON! Australia's first Trees Scorecard shows how each state and territory is performing in the race to protect and restore trees. Australia has the highest rate of deforestation in the developed world. Add your voice to help change this. Sign the petition now. 🌳,"['Save Our Trees NOW!', 'Save Our Trees NOW!']",['fb.me'],"[""It's a race to save our trees."", ""It's a race to save our trees.""]",https://www.facebook.com/ads/library/?id=1286602582060669
0,,1.4075E+15,10113538711,the voice,WWF-Australia,"SA, let's do better than average. Help SA save our trees. Save Our Trees NOW!","['Save Our Trees NOW!', 'Save Our Trees NOW!', ""SA, let's do better than average.""]","['fb.me', 'fb.me', 'fb.me']","[""SA, let's do better than average."", 'Help SA save our trees.', 'Save Our Trees NOW!']",https://www.facebook.com/ads/library/?id=1407504466773547
0,,1.64979E+15,10113538711,the voice,WWF-Australia,"WA, let's climb the leaderboard. Help WA save our trees. WA, let's climb the leaderboard.","['Save Our Trees NOW!', 'Save Our Trees NOW!', 'Save Our Trees NOW!']","['fb.me', 'fb.me', 'fb.me']","[""WA, let's climb the leaderboard."", 'Help WA save our trees.', ""WA, let's climb the leaderboard.""]",https://www.facebook.com/ads/library/?id=1649793288858391
0,,6.43111E+15,10113538711,the voice,WWF-Australia,"Tassie, we can do better. Help Tassie save our trees. Save Our Trees NOW!","['Save Our Trees NOW!', 'Save Our Trees NOW!', 'Tassie, we can do better.']","['fb.me', 'fb.me', 'fb.me']","['Tassie, we can do better.', 'Help Tassie save our trees.', 'Save Our Trees NOW!']",https://www.facebook.com/ads/library/?id=6431107776934878
0,,1.3639E+14,1.00643E+14,the voice,It's Happening Here,,['Know the signs.'],['www.itshappeninghere.com.au'],,https://www.facebook.com/ads/library/?id=136389539481180
